ds,y
2014-09-29,30442365824
2014-09-30,27851876898
2014-10-01,33474214896
2014-10-02,28680237265
2014-10-03,19089426080
2014-10-04,9202394724
2014-10-05,13454608454
2014-10-06,27838746495
2014-10-07,31643065541
2014-10-08,32307242059
2014-10-09,30062202411
2014-10-10,28255876015
2014-10-11,17861300955
2014-10-12,16569568681
2014-10-13,18578497932
2014-10-14,10061184107
2014-10-15,22855720266
2014-10-16,27053495923
2014-10-17,26749647103
2014-10-18,11598829660
2014-10-19,15508198542
2014-10-20,28762681126
2014-10-21,28419058570
2014-10-22,29651303480
2014-10-23,29246374417
2014-10-25,21811601463
2014-10-26,16458021198
2014-10-27,31931236991
2014-10-28,30175416878
2014-10-29,27702344083
2014-10-30,27557982753
2014-10-31,15187199479
2014-11-01,10846934462
2014-11-02,12090553519
2014-11-03,27565211272
2014-11-04,26570739691
2014-11-05,29281136175
2014-11-06,22853738036
2014-11-07,23037129904
2014-11-08,11988053428
2014-11-09,11219103419
2014-11-10,26811168712
2014-11-11,19106347733
2014-11-12,18655225816
2014-11-13,15776372404
2014-11-14,16161541654
2014-11-15,7765634174
2014-11-16,6182269019
2014-11-17,12472774599
2014-11-18,11331354563
2014-11-19,14549431180
2014-11-20,13941785354
2014-11-21,14912953107
2014-11-22,8850343101
2014-11-23,5728052524
2014-11-24,8251981324
2014-11-25,12995523048
2014-11-26,10628691314
2014-11-27,2359015471
2014-11-28,4663956351
2014-11-29,6878205153
2014-11-30,6480281399
2014-12-01,12628271922
2014-12-02,15784248664
2014-12-03,16389773938
2014-12-04,16794529439
2014-12-05,16984795584
2014-12-06,8676653273
2014-12-07,7122955452
2014-12-08,10129985782
2014-12-09,12376653947
2014-12-10,14569938764
2014-12-11,15632679522
2014-12-12,14995606554
2014-12-13,9740995020
2014-12-14,10228889491
2014-12-15,13433696699
2014-12-16,15217239440
2014-12-17,14506040145
2014-12-18,14216993566
2014-12-19,14811335450
2014-12-20,7278689740
2014-12-21,5857962545
2014-12-22,8524932173
2014-12-23,13824573502
2014-12-24,4724685924
2014-12-25,1903699434
2014-12-26,6958972324
2014-12-27,4282833820
2014-12-28,4020311529
2014-12-29,10508788317
2014-12-30,8722329840
